name,media_type
abclinuxu.cz,other
cnews.cz,other
avmania.cz,other
Zlínský deník,other
Chrudimský deník,other
Tachovský deník,other
antimeloun.cz,antisystem
karlovarskadrbna.cz,other
medium.seznam.cz,opinion
technet.cz,other
informuji.cz,mainstream
stream.cz - web,mainstream
zenysro.cz,mainstream
Právo Víkend,mainstream
The Prague Post,other
pehe.cz,opinion
KOKTEJL,mainstream
Pelhřimovský deník,other
FaktorS,political_tabloid
Knižní novinky,other
Krajské noviny,mainstream
Krkonošský deník,other
Poslanecká sněmovna ČR,institution_web
Studio N - podcast,investigative
e15-premium.cz,mainstream
rvp.cz,institution_web
tydenvlk.cz,other
Šumperský a jesenický deník,other
Nové Přerovsko,other
TV Praha,other
dfens-cz.com,antisystem
listy.cz,mainstream
Kutnohorský deník,other
Slovácký deník,other
Strakonický deník,other
sciencemag.cz,mainstream
zdravezpravy.cz,other
21. Století,mainstream
pametnaroda.cz,mainstream
Enigma,tabloid
emimino.cz,other
Rádio Blaník - Praha,other
Valašský deník,other
opojisteni.cz,other
vary.iDNES.cz,other
Newsweek,mainstream
Revue Sondy,opinion
totalfilm.cz,other
digizone.cz,other
revue.iDNES.cz,tabloid
vedavyzkum.cz,mainstream
satcentrum.com,other
ČRo - ostrava.cz,other
Naše Pravda,party_web
advojka.cz,opinion
zoom.iprima.cz,mainstream
MaM.cz,opinion
Ona DNES,mainstream
babylonrevue.cz,mainstream
Rychnovský deník,other
V1 TV,other
charita.cz,institution_web
prahatv.eu,other
zakrasnejsivimperk.cz,other
Týdeník Televize,mainstream
nasepravda.cz,party_web
Hitrádio City Brno,other
Jičínský deník,other
katyd.cz,opinion
Slovácko - regionální týdeník,other
policie.cz,institution_web
h7o.cz,other
Computerworld,other
zpravodajstvi.ecn.cz,other
Moravskoslezský deník,other
casjenprome.cz,mainstream
Týdeník Frýdecko-Místecko,other
pardubice.iDNES.cz,other
regionalist.cz,other
Třebíčský deník,other
Hudební rozhledy,other
i-divadlo.cz,other
nejbusiness.cz,other
Můj kousek štěstí,tabloid
mpo.cz,institution_web
Rokycanský deník,other
Rytmus života,tabloid
Technický týdeník,other
rmol.cz,other
Art + antiques,other
FINMAG,opinion
ČRo - brno.cz,other
Rádio Blaník - sever,other
autoforum.cz,other
czechfreepress.info,antisystem
mediar.cz,other
stavebniserver.com,other
kafe.cz,tabloid
klubnovinaruzlin.cz,other
pro-energy.cz,other
podivinsky.cz,antisystem
svetovak.cz,market_driven
Deník Víkend,mainstream
E15 weekly,mainstream
Karlovarský deník,other
Náš region Praha,other
asocr.cz,institution_web
computerworld.cz,other
prozeny.cz,mainstream
"Týden u nás, okresní noviny",other
archiweb.cz,other
blog.respekt.cz,opinion
businessit.cz,other
Sedmička,tabloid
pozitivni-noviny.cz,other
ustavmezinarodnichvztahu.cz,institution_web
armadninoviny.cz,opinion
protiproud.info,antisystem
ČRo - pardubice.cz,other
112,institution_web
Slovácké noviny - regionální týdeník,other
deliandiver.org,antisystem
Přerovský a hranický deník,other
filmserver.cz,other
iDNES - podcast,mainstream
kdykde.cz,mainstream
Náchodský deník,other
Sokolovský deník,other
amnesty.cz,institution_web
letemsvetemapplem.eu,other
zemedelec.cz,other
Bruntálský a krnovský deník,other
eduin.cz,institution_web
ČRo - digitalniradio.cz,mainstream
Esquire,mainstream
TV max,mainstream
businessworld.cz,other
energy-hub.cz,other
musicserver.cz,other
pozitivnisvet.cz,antisystem
Prachatický deník,other
Překvapení,mainstream
Reseller Magazine,other
TV STAR,mainstream
malostranskadrbna.cz,other
deti-noci.cz,other
ROCK & POP,other
abicko.cz,other
Hodonínský deník,other
mobilmania.cz,other
25fps.cz,mainstream
Moje chvilka pohody,mainstream
homerlive.cz,other
ulekare.cz,other
Hranický týden,other
Žďárský deník,other
Horizont,other
ict-nn.com,other
Kiss Morava - Ostrava,other
cc.cz - CzechCrunch,other
Homér,other
Opavský a hlučínský deník,other
Znojemský deník,other
ČRo - liberec.cz,other
lekari-bez-hranic.cz,institution_web
Psychologie dnes,mainstream
Týdeník Bruntálský Region,other
asz.cz,institution_web
Komora.cz,institution_web
serialzone.cz,other
volnyblog.cz,antisystem
TRADE NEWS,other
Vyškovské noviny,other
klasikaplus.cz,other
Havířovský deník,other
helpnet.cz,other
spcr.cz,other
itpoint.cz,other
ruik.cz,other
ČRo - vary.cz,other
Blanenský deník,other
iuhli.cz,other
Novojičínský deník,other
Computer,other
Zemědělec,other
krimi-plzen.cz,other
pcporadenstvi.cz,other
investigace.cz,investigative
senat.cz,institution_web
narodninoviny.cz,antisystem
AUTO.cz,other
Dopravní noviny,other
chip.cz,other
Naše Valašsko - regionální týdeník,other
21stoleti.cz,other
hedvabnastezka.cz,other
smartmania.cz,other
Podcast HN 360° - podcast,other
dnoviny.cz,other
zdopravy.cz,other
ado.cz,institution_web
technickytydenik.cz,other
tzb-info.cz,other
atlasceska.cz,other
cyklonovinky.cz,other
mobilenet.cz,other
avcr.cz,institution_web
ceskobezcenzury.cz,antisystem
technet.iDNES.cz,other
aeronet.news,antisystem
eurofotbal.cz,other
podnikatel.cz,other
ČRo - zlin.cz,other
eulog.cz,other
MARKETING SALES MEDIA,other
bydlet.cz,other
Chip,other
lp-life.cz,other
sip.denik.cz,tabloid
hokej.cz,other
kudyznudy.cz,other
motorkari.cz,other
pravniradce.ihned.cz,other
tenisportal.cz,other
Týdeník Opavský a Hlučínský Region,other
Týdeník Vysočina,other
brnenskodnes.cz,other
Svobodný hlas,other
efotbal.cz,other
hrej.cz,other
ihano.cz,party_web
pozitivni-zpravy.cz,mainstream
Konkursní noviny - Bulletin,other
muni.cz,institution_web
Železniční magazín,other
biztweet.cz,market_driven
techfocus.cz,other
Svět motorů,other
novaburzoazie.com,antisystem
icot.cz,other
vodarenstvi.cz,other
Moderní obec,other
Týdeník Klatovska,other
agromanual.cz,other
export.cz,other
pr.denik.cz,other
arfa.cz,antisystem
mtbs.cz,other
AGRObase zpravodaj,other
ceskysvazcyklistiky.cz,other
mrk.cz,other
oenergetice.cz,other
personalista.com,other
TECH MAGAZÍN,other
Ranní brífink - podcast,other
kulturaok-eu.cz,opinion
dotekomanie.cz,other
ttg.cz,other
socialnidialog.cz,other
svobodny-vysilac.cz,antisystem
zing.cz,other
Britské listy - youtube,opinion
Senátní a sněmovní tisky,other
hobby.iDNES.cz,other
ucitelske-listy.cz,opinion
Nedělní Sport,other
REFLEX SPECIÁL,opinion
Sport magazín,other
evropa2.cz,mainstream
bezpecnostpotravin.cz,other
prumyslovaekologie.cz,other
equichannel.cz,other
sportovnilisty.cz,other
Sport GÓÓÓL!,other
auto.tn.nova.cz,other
czechmarketplace.cz,other
kehilaprag.cz,other
rychlofky.wordpress.com,other
Development news,other
auto.iDNES.cz,other
objevit.cz,other
jablickar.cz,other
tyinternety.cz,other
autoroad.cz,other
obec.sumava.eu,institution_web
ČRo Vltava,other
bozpinfo.cz,other
doupe.cz,other
mujbiz.cz,other
nhl.cz,other
ozdravotnictvi.cz,mainstream
jakdokanady.cz,other
railtarget.cz,other
Snow,other
linuxexpres.cz,other
applenovinky.cz,other
cianews.cz,other
foodnet.cz,other
obnovitelne.cz,other
skandinavskydum.cz,other
Kecy & politika - podcast,other
Strategie,other
csfd.cz,other
horydoly.cz,other
kr-jihomoravsky.cz,institution_web
Potravinářská Revue,other
Travel digest,other
automakers.cz,other
otechnice.cz,other
spolecenskaodpovednostfirem.cz,other
Faktor Soukup,political_tabloid
e-vsudybyl.cz,other
mmspektrum.com,other
onbusiness.cz,other
ovodarenstvi.cz,other
strategie.e15.cz,other
ČRo - regiony.cz,mainstream
garaz.cz,other
maxiorel.cz,other
podoli.cz,institution_web
reality.iDNES.cz,other
Stavitel,other
e-bezpeci.cz,other
euserver.parlamentnilisty.cz,antisystem
nastartu.cz,other
stavebni-forum.cz,other
Be the Best,other
Security World,other
autorevue.cz,other
bydleni.iDNES.cz,other
estav.cz,other
fzone.cz,other
urad.vysoke-myto.cz,institution_web
365tipu.cz,other
Logistika,other
Potravinářský zpravodaj,other
Reliant Logistic News,other
Retail News,other
Transport magazín,other
bonusweb.iDNES.cz,other
crestcom.cz,other
finance.iDNES.cz,mainstream
inrybar.cz,other
sdeleni.idnes.cz,other
svetandroida.cz,other
E15 Cast - podcast,other
earch.cz,other
f1news.autoroad.cz,other
mpsv.cz,institution_web
procomputing.cz,other
Dům a bydlení,other
auto-mania.cz,other
fio.cz,other
national-geographic.cz,other
ronnie.cz,other
zemedelskytydenik.cz,other
estate.cz,other
hrnews.cz,other
itreport.cz,other
vtm.zive.cz,other
Apetit,other
Retailnews.cz,other
jezdci.cz,other
naschov.cz,other
Bar Life,other
Doma DNES,other
apatykar.cz,other
czechgamer.com,other
drevostavitel.cz,other
eprofil.cz,other
imaterialy.cz,other
olkraj.cz,institution_web
vyvoj.hw.cz,other
Stavebnictví,other
mistoprodeje.cz,other
mupe.cz,institution_web
phpfusion.cz,other
skypaper.cz,other
tenisovysvet.cz,other
uroda.cz,other
zahradaweb.cz,other
Hattrick,other
Marianne venkov & styl,other
Systémy logistiky,other
osz.org,other
ASB,other
AUTO DNES,other
Czech Industry,other
cestovinky.cz,other
czechleaders.com,other
kaocko.cz,other
planes.cz,other
railtarget.eu,other
svetneziskovek.cz,other
Lawyers & Business,other
autoweb.cz,other
autoweek.cz,other
isport.blesk.cz - premium,other
motormix.cz,other
myslivost.cz,other
packaging-cz.cz,other
silnice-zeleznice.cz,other
systemylogistiky.cz,other
treking.cz,other
Auto TIP,other
Innovation,other
Pojistný obzor,other
"Střechy, fasády, izolace",other
Zbraně & náboje,other
amsp.cz,institution_web
apetitonline.cz,other
corporateict.cz,other
hcom.cz,other
komunalniekologie.cz,other
konstrukce.cz,other
novebydleni.cz,other
ondrejprokop.cz,other
spanelskyfotbal.cz,other
stavba.tzb-info.cz,other
F.O.O.D.,other
ceskavedadosveta.cz,other
fotbalportal.cz,other
gastroahotel.cz,other
insight.cz,other
pcworld.cz,other
prekon.cz,other
tech.ihned.cz,other
vseoprumyslu.cz,other
ČRo - jazz.cz,other
Control engieneering Česko,other
Marianne bydlení,other
PRO-ENERGY,other
Sociální služby,other
Trucker,other
asb-portal.cz,other
insmart.cz,other
zboziaprodej.cz,other
All for POWER,other
Silnice a železnice,other
airways.cz,other
archspace.cz,other
autobible.euro.cz,other
keengamer.com,other
listy.mesto-most.cz,institution_web
marketingsales.cz,other
skillzone.cz,other
tvarchitect.com,other
vetweb.cz,other
Řečí peněz - podcast,other
Agrární obzor,other
Chatař & chalupář,other
Forbes Podcast - podcast,mainstream
Speed,other
cad.cz,other
cdr.cz,other
desperado.cz,other
gamepark.cz,other
ireceptar.cz,other
openoffice.cz,other
retrend.cz,other
stavbaweb.dumabyt.cz,other
Dům a zahrada,other
autickar.cz,other
dTest,other
diverzita.cz,other
efektivniuspory.cz,other
footballclub.cz,other
marketingovenoviny.cz,other
motor-max.cz,other
pokerarena.cz,other
profiboxing.cz,other
rychlofky.cz,other
slunecnice.cz,other
stahuj.centrum.cz,other
techmagazin.cz,other
Domo,other
InfoLab,other
atbars.com,other
bikestream.cz,other
busportal.cz,other
bydleni.cz,other
ceskestavby.cz,other
digiarena.cz,other
eurogamer.cz,other
logisticsatoz.com,other
skoda-storyboard.com,other
topkoktejl.cz,other
turisimo.cz,other
